ticker,entry_date,entry_price,sl_price,tp_price,exit_date,exit_price,target_pct,sl_pct,outcome,pnl_pct
CYBERTECH,2026-07-08,141.19,136.62,158.0,2026-07-13,136.62,11.91,3.24,LOSS,-3.24
NATIONALUM,2021-10-28,99.44,96.0,127.95,2021-11-18,96.0,28.67,3.46,LOSS,-3.46
NATIONALUM,2022-04-12,119.6,117.71,132.4,2022-04-18,117.71,10.7,1.58,LOSS,-1.58
NATIONALUM,2022-12-26,70.47,69.45,78.85,2022-12-27,78.85,11.88,1.45,WIN,11.88
NATIONALUM,2024-03-13,134.11,130.8,157.0,2024-04-01,157.0,17.07,2.47,WIN,17.07
NATIONALUM,2024-06-04,175.38,169.3,204.2,2024-06-05,169.3,16.44,3.46,LOSS,-3.46
NATIONALUM,2024-07-19,189.06,184.68,209.0,2024-07-22,184.68,10.55,2.31,LOSS,-2.31
NATIONALUM,2025-02-25,182.9,175.8,202.5,2025-02-27,175.8,10.72,3.88,LOSS,-3.88
NATIONALUM,2026-03-23,348.19,334.35,404.3,2026-04-01,404.3,16.12,3.97,WIN,16.12
NATIONALUM,2026-06-05,403.71,391.45,444.5,2026-06-08,391.45,10.1,3.04,LOSS,-3.04
DATAPATTNS,2022-09-29,1098.25,1050.0,1234.0,2022-10-11,1234.0,12.36,4.39,WIN,12.36
DATAPATTNS,2023-02-24,1230.76,1181.8,1540.0,2023-02-27,1181.8,25.13,3.98,LOSS,-3.98
DATAPATTNS,2023-09-13,1998.62,1965.0,2267.95,2023-10-23,1965.0,13.48,1.68,LOSS,-1.68
DATAPATTNS,2024-12-30,2409.55,2313.0,2683.0,2025-01-08,2313.0,11.35,4.01,LOSS,-4.01
DATAPATTNS,2025-09-29,2523.85,2407.0,2925.0,2025-11-13,2925.0,15.89,4.63,WIN,15.89
DATAPATTNS,2025-12-08,2629.18,2545.0,3215.0,2025-12-09,2545.0,22.28,3.2,LOSS,-3.2
DATAPATTNS,2026-07-28,4365.25,4257.0,4831.7,2026-07-31,4257.0,10.69,2.48,LOSS,-2.48
KOHINOOR,2022-12-23,53.95,52.67,63.0,2022-12-26,52.67,16.77,2.38,LOSS,-2.38
KOHINOOR,2023-01-30,66.5,65.34,83.95,2023-02-07,65.34,26.24,1.74,LOSS,-1.74
KOHINOOR,2023-10-23,36.31,35.49,42.05,2023-10-24,35.49,15.8,2.26,LOSS,-2.26
KOHINOOR,2024-03-28,38.23,37.57,50.7,2024-03-29,37.57,32.64,1.71,LOSS,-1.71
KOHINOOR,2024-07-23,40.9,40.05,45.9,2024-08-06,40.05,12.22,2.08,LOSS,-2.08
KOHINOOR,2025-01-06,41.42,39.61,55.3,2025-01-10,39.61,33.49,4.38,LOSS,-4.38
KOHINOOR,2025-03-18,31.69,31.27,38.74,2025-03-27,31.27,22.24,1.32,LOSS,-1.32
KOHINOOR,2025-06-18,35.16,34.64,39.7,2025-06-19,34.64,12.92,1.47,LOSS,-1.47
FAIRCHEMOR,2021-03-05,647.85,639.34,725.0,2021-03-09,639.34,11.91,1.31,LOSS,-1.31
FAIRCHEMOR,2021-09-21,1848.66,1797.2,2045.0,2021-09-24,1797.2,10.62,2.78,LOSS,-2.78
FAIRCHEMOR,2022-09-26,1962.89,1930.0,2295.0,2022-09-27,1930.0,16.92,1.68,LOSS,-1.68
FAIRCHEMOR,2024-03-11,1324.4,1270.15,1528.8,2024-03-12,1270.15,15.43,4.1,LOSS,-4.1
FAIRCHEMOR,2024-07-09,1380.99,1354.25,1553.0,2024-07-12,1354.25,12.46,1.94,LOSS,-1.94
FAIRCHEMOR,2026-06-10,579.27,557.2,664.0,2026-06-24,664.0,14.63,3.81,WIN,14.63
FAIRCHEMOR,2026-08-13,725.3,696.5,846.8,2026-08-17,696.5,16.75,3.97,LOSS,-3.97
AXISNIFTY,2021-10-28,189.73,187.85,212.22,2021-10-29,187.85,11.85,0.99,LOSS,-0.99
GLOBECIVIL,2026-07-02,40.66,39.98,45.83,2026-07-21,39.98,12.72,1.68,LOSS,-1.68
TIRUMALCHM,2021-02-15,96.5,95.44,107.9,2021-02-16,95.44,11.81,1.1,LOSS,-1.1
TIRUMALCHM,2022-02-08,248.71,241.51,279.0,2022-02-14,241.51,12.18,2.9,LOSS,-2.9
TIRUMALCHM,2022-09-19,232.07,225.9,259.4,2022-09-26,225.9,11.77,2.66,LOSS,-2.66
TIRUMALCHM,2024-02-09,216.03,205.85,239.9,2024-02-16,239.9,11.05,4.71,WIN,11.05
TIRUMALCHM,2024-08-14,309.05,304.62,355.5,2024-08-22,355.5,15.03,1.43,WIN,15.03
TIRUMALCHM,2025-04-30,250.73,238.46,287.84,2025-05-07,238.46,14.8,4.89,LOSS,-4.89
TIRUMALCHM,2026-03-02,187.47,183.55,217.83,2026-03-03,183.55,16.2,2.09,LOSS,-2.09
TIRUMALCHM,2026-07-13,164.68,158.64,188.0,2026-07-22,158.64,14.16,3.67,LOSS,-3.67
TIRUMALCHM,2026-08-05,170.72,165.92,189.0,2026-08-10,165.92,10.71,2.81,LOSS,-2.81
GOLDADD,2026-06-10,144.04,142.66,158.61,2026-06-11,142.66,10.12,0.96,LOSS,-0.96
ORCHPHARMA,2021-10-21,419.3,406.05,463.0,2021-10-26,406.05,10.42,3.16,LOSS,-3.16
ORCHPHARMA,2022-01-19,413.55,396.05,460.0,2022-01-21,396.05,11.23,4.23,LOSS,-4.23
ORCHPHARMA,2022-05-26,281.0,268.3,426.0,2022-06-17,268.3,51.6,4.52,LOSS,-4.52
ORCHPHARMA,2022-08-11,298.59,284.0,365.9,2022-10-25,365.9,22.54,4.89,WIN,22.54
ORCHPHARMA,2022-09-19,324.0,315.81,362.0,2022-09-21,315.81,11.73,2.53,LOSS,-2.53
ORCHPHARMA,2023-08-16,534.25,528.66,634.8,2023-08-30,528.66,18.82,1.05,LOSS,-1.05
ORCHPHARMA,2024-07-10,1089.3,1047.55,1260.0,2024-07-19,1260.0,15.67,3.83,WIN,15.67
ORCHPHARMA,2025-07-28,694.38,679.35,768.75,2025-08-01,768.75,10.71,2.16,WIN,10.71
ORCHPHARMA,2025-09-26,718.02,708.0,793.95,2025-09-29,708.0,10.57,1.4,LOSS,-1.4
ORCHPHARMA,2025-11-12,745.0,732.6,867.9,2025-11-17,867.9,16.5,1.66,WIN,16.5
ORCHPHARMA,2026-07-23,964.59,916.75,1119.8,2026-08-11,1119.8,16.09,4.96,WIN,16.09
KROSS,2025-01-13,187.05,181.17,246.35,2025-01-24,181.17,31.7,3.14,LOSS,-3.14
KROSS,2025-03-27,168.2,160.5,189.1,2025-04-07,160.5,12.43,4.58,LOSS,-4.58
KROSS,2026-05-14,188.42,183.78,231.0,2026-05-18,183.78,22.6,2.46,LOSS,-2.46
KROSS,2026-07-03,181.42,175.43,201.5,2026-07-20,201.5,11.07,3.3,WIN,11.07
QPOWER,2025-05-20,360.06,354.42,397.9,2025-05-21,397.9,10.51,1.57,WIN,10.51
QPOWER,2026-01-09,751.04,722.0,862.15,2026-01-12,722.0,14.79,3.87,LOSS,-3.87
QPOWER,2026-07-08,1080.42,1061.28,1335.5,2026-07-30,1061.28,23.61,1.77,LOSS,-1.77
QPOWER,2026-09-16,1329.17,1267.3,1502.7,,,13.06,4.66,OPEN,0.0
TATAGOLD,2025-04-07,8.64,8.59,10.48,2025-04-08,8.59,21.23,0.64,LOSS,-0.64
TATAGOLD,2025-09-12,10.54,10.24,12.13,2025-10-13,12.13,15.14,2.8,WIN,15.14
TATAGOLD,2026-01-22,14.6,14.16,16.83,2026-01-29,16.83,15.31,3.0,WIN,15.31
TATAGOLD,2026-03-16,15.01,14.67,16.8,2026-03-19,14.67,11.94,2.25,LOSS,-2.25
JTLIND,2023-01-27,323.25,310.61,372.8,2023-02-27,310.61,15.33,3.91,LOSS,-3.91
JTLIND,2026-03-02,55.06,53.21,78.24,2026-03-04,53.21,42.09,3.36,LOSS,-3.36
VENUSPIPES,2024-06-04,1979.51,1903.7,2189.9,2024-06-10,2189.9,10.63,3.83,WIN,10.63
VENUSPIPES,2024-10-03,2067.54,2010.0,2374.95,2024-10-08,2010.0,14.87,2.78,LOSS,-2.78
VENUSPIPES,2025-04-25,1204.9,1159.5,1358.2,2025-05-09,1159.5,12.72,3.77,LOSS,-3.77
VENUSPIPES,2025-06-19,1345.28,1280.0,1545.0,2025-07-08,1545.0,14.85,4.85,WIN,14.85
VENUSPIPES,2025-09-29,1282.08,1245.2,1411.0,2025-11-07,1245.2,10.06,2.88,LOSS,-2.88
VENUSPIPES,2026-02-20,1039.92,1007.9,1252.0,2026-03-06,1007.9,20.39,3.08,LOSS,-3.08
ABB,2021-07-27,1672.66,1601.0,1857.0,2021-08-27,1857.0,11.02,4.28,WIN,11.02
ABB,2021-12-20,2098.5,2035.0,2375.0,2022-01-17,2375.0,13.18,3.03,WIN,13.18
ABB,2022-05-04,2023.16,1944.6,2264.95,2022-05-05,2264.95,11.95,3.88,WIN,11.95
ABB,2024-12-24,6885.25,6615.5,7635.0,2025-01-06,6615.5,10.89,3.92,LOSS,-3.92
ABB,2026-05-12,6278.12,6088.0,6993.0,2026-05-27,6993.0,11.39,3.03,WIN,11.39
GNRL,2026-07-03,102.15,100.83,120.9,2026-07-13,100.83,18.36,1.29,LOSS,-1.29
VMART,2021-02-22,2585.0,2479.95,3128.95,,,21.04,4.06,OPEN,0.0
VMART,2022-06-06,3051.34,2922.35,3433.45,2022-06-07,2922.35,12.52,4.23,LOSS,-4.23
VMART,2024-02-09,2094.14,2042.0,2416.0,2024-02-14,2042.0,15.37,2.49,LOSS,-2.49
VMART,2024-11-11,3706.24,3567.75,4475.0,2024-11-13,3567.75,20.74,3.74,LOSS,-3.74
VMART,2025-02-17,3059.93,3024.45,3775.0,2025-02-20,3024.45,23.37,1.16,LOSS,-1.16
KAUSHALYA,2021-02-18,2.01,1.93,2.5,2021-02-19,1.93,24.22,4.07,LOSS,-4.07
KAUSHALYA,2022-04-29,5.02,4.8,6.35,2022-05-02,4.8,26.37,4.45,LOSS,-4.45
